"","date","demand","day","yearday"
"478",2005-04-22,663.86,"星期五","0422"
"479",2005-04-23,573.19,"星期六","0423"
"480",2005-04-24,509.47,"星期日","0424"
"481",2005-04-25,648.29,"星期一","0425"
"482",2005-04-26,666.22,"星期二","0426"
"483",2005-04-27,672.17,"星期三","0427"
"484",2005-04-28,671.98,"星期四","0428"
"485",2005-04-29,658.38,"星期五","0429"
"486",2005-04-30,571.88,"星期六","0430"
"487",2005-05-01,481.67,"星期日","0501"
"488",2005-05-02,550.29,"星期一","0502"
"489",2005-05-03,644.84,"星期二","0503"
"490",2005-05-04,664.86,"星期三","0504"
"491",2005-05-05,654.08,"星期四","0505"
"492",2005-05-06,667.37,"星期五","0506"
"493",2005-05-07,579.3,"星期六","0507"
"494",2005-05-08,508.04,"星期日","0508"
"495",2005-05-09,645.39,"星期一","0509"
"496",2005-05-10,679.3,"星期二","0510"
"497",2005-05-11,681.91,"星期三","0511"
"498",2005-05-12,670.82,"星期四","0512"
"499",2005-05-13,656.73,"星期五","0513"
"500",2005-05-14,562.97,"星期六","0514"
"501",2005-05-15,484.44,"星期日","0515"
"502",2005-05-16,600.25,"星期一","0516"
"503",2005-05-17,646.92,"星期二","0517"
"504",2005-05-18,660.7,"星期三","0518"
"505",2005-05-19,662.95,"星期四","0519"
"506",2005-05-20,665.91,"星期五","0520"
"507",2005-05-21,581.6,"星期六","0521"
"508",2005-05-22,519.66,"星期日","0522"
"509",2005-05-23,663.66,"星期一","0523"
"510",2005-05-24,678.77,"星期二","0524"
"511",2005-05-25,682.94,"星期三","0525"
"512",2005-05-26,678.9,"星期四","0526"
"513",2005-05-27,680.57,"星期五","0527"
"514",2005-05-28,597.31,"星期六","0528"
"515",2005-05-29,527.91,"星期日","0529"
"516",2005-05-30,667.09,"星期一","0530"
"517",2005-05-31,682.19,"星期二","0531"
"518",2005-06-01,684.2,"星期三","0601"
"519",2005-06-02,703.45,"星期四","0602"
"520",2005-06-03,699.81,"星期五","0603"
"521",2005-06-04,619.84,"星期六","0604"
"522",2005-06-05,556.23,"星期日","0605"
"523",2005-06-06,695.49,"星期一","0606"
"524",2005-06-07,725.61,"星期二","0607"
"525",2005-06-08,721.96,"星期三","0608"
"526",2005-06-09,720.04,"星期四","0609"
"527",2005-06-10,718.22,"星期五","0610"
"528",2005-06-11,618.47,"星期六","0611"
"529",2005-06-12,539.66,"星期日","0612"
"530",2005-06-13,666.26,"星期一","0613"
"531",2005-06-14,703.67,"星期二","0614"
"532",2005-06-15,707.58,"星期三","0615"
"533",2005-06-16,731.27,"星期四","0616"
"534",2005-06-17,742.95,"星期五","0617"
"535",2005-06-18,651.35,"星期六","0618"
"536",2005-06-19,581.33,"星期日","0619"
"537",2005-06-20,742.12,"星期一","0620"
"538",2005-06-21,770.93,"星期二","0621"
"539",2005-06-22,772.31,"星期三","0622"
"540",2005-06-23,741.09,"星期四","0623"
"541",2005-06-24,690.36,"星期五","0624"
"542",2005-06-25,630.43,"星期六","0625"
"543",2005-06-26,568.53,"星期日","0626"
"544",2005-06-27,724.96,"星期一","0627"
"545",2005-06-28,744.62,"星期二","0628"
"546",2005-06-29,745.66,"星期三","0629"
"547",2005-06-30,756.02,"星期四","0630"
"548",2005-07-01,745.27,"星期五","0701"
"549",2005-07-02,645.3,"星期六","0702"
"550",2005-07-03,604.51,"星期日","0703"
"551",2005-07-04,731.37,"星期一","0704"
"552",2005-07-05,743.17,"星期二","0705"
"553",2005-07-06,767.05,"星期三","0706"
"554",2005-07-07,740.15,"星期四","0707"
"555",2005-07-08,727.1,"星期五","0708"
"556",2005-07-09,630.46,"星期六","0709"
"557",2005-07-10,560.08,"星期日","0710"
"558",2005-07-11,730.89,"星期一","0711"
"559",2005-07-12,756.12,"星期二","0712"
"560",2005-07-13,766.92,"星期三","0713"
"561",2005-07-14,770.36,"星期四","0714"
"562",2005-07-15,778.67,"星期五","0715"
"563",2005-07-16,669.69,"星期六","0716"
"564",2005-07-17,581.66,"星期日","0717"
"565",2005-07-18,748.05,"星期一","0718"
"566",2005-07-19,766.7,"星期二","0719"
"567",2005-07-20,774.66,"星期三","0720"
"568",2005-07-21,785.79,"星期四","0721"
"569",2005-07-22,764.57,"星期五","0722"
"570",2005-07-23,645.23,"星期六","0723"
"571",2005-07-24,562,"星期日","0724"
"572",2005-07-25,664.73,"星期一","0725"
"573",2005-07-26,730.59,"星期二","0726"
"574",2005-07-27,732.1,"星期三","0727"
"575",2005-07-28,733.61,"星期四","0728"
"576",2005-07-29,729.16,"星期五","0729"
"577",2005-07-30,612.78,"星期六","0730"
"578",2005-07-31,536.43,"星期日","0731"
"579",2005-08-01,651.99,"星期一","0801"
"580",2005-08-02,661.17,"星期二","0802"
"581",2005-08-03,666.45,"星期三","0803"
"582",2005-08-04,669.76,"星期四","0804"
"583",2005-08-05,681.88,"星期五","0805"
"584",2005-08-06,615.35,"星期六","0806"
"585",2005-08-07,569.02,"星期日","0807"
"586",2005-08-08,662.6,"星期一","0808"
"587",2005-08-09,668.09,"星期二","0809"
"588",2005-08-10,652.14,"星期三","0810"
"589",2005-08-11,642.88,"星期四","0811"
"590",2005-08-12,645.28,"星期五","0812"
"591",2005-08-13,588.75,"星期六","0813"
"592",2005-08-14,529.98,"星期日","0814"
"593",2005-08-15,541.67,"星期一","0815"
"594",2005-08-16,644.38,"星期二","0816"
"595",2005-08-17,660.4,"星期三","0817"
"596",2005-08-18,657.47,"星期四","0818"
